Order,id,family,feeling,oppositeId
1,joy-1-optimistic,Joy,Optimistic,sad-1-hurt
2,joy-2-confident,Joy,Confident,sad-2-depressed
3,joy-3-joyful,Joy,Joyful,sad-3-lonely
4,joy-4-loving,Joy,Loving,sad-4-ashamed
5,trust-1-grateful,Trust,Grateful,disgust-1-dislike
6,trust-2-peaceful,Trust,Peaceful,disgust-2-avoidance
7,trust-3-accepted,Trust,Accepted,disgust-3-awful
8,trust-4-hopeful,Trust,Hopeful,disgust-4-disapproval
9,fear-1-nervous,Fear,Nervous,anger-1-aggressive
10,fear-2-scared,Fear,Scared,anger-2-mad
11,fear-3-anxious,Fear,Anxious,anger-3-frustrated
12,fear-4-insecure,Fear,Insecure,anger-4-critical
13,surprise-1-startled,Surprise,Startled,anticipation-1-excited
14,surprise-2-confused,Surprise,Confused,anticipation-2-eager
15,surprise-3-amazed,Surprise,Amazed,anticipation-3-interested
16,surprise-4-disappointed,Surprise,Disappointed,anticipation-4-stressed
17,sad-1-hurt,Sadness,Hurt,joy-1-optimistic
18,sad-2-depressed,Sadness,Depressed,joy-2-confident
19,sad-3-lonely,Sadness,Lonely,joy-3-joyful
20,sad-4-ashamed,Sadness,Ashamed,joy-4-loving
21,disgust-1-dislike,Disgust,Dislike,trust-1-grateful
22,disgust-2-avoidance,Disgust,Avoidance,trust-2-peaceful
23,disgust-3-awful,Disgust,Awful,trust-3-accepted
24,disgust-4-disapproval,Disgust,Disapproval,trust-4-hopeful
25,anger-1-aggressive,Anger,Aggressive,fear-1-nervous
26,anger-2-mad,Anger,Mad,fear-2-scared
27,anger-3-frustrated,Anger,Frustrated,fear-3-anxious
28,anger-4-critical,Anger,Critical,fear-4-insecure
29,anticipation-1-excited,Anticipation,Excited,surprise-1-startled
30,anticipation-2-eager,Anticipation,Eager,surprise-2-confused
31,anticipation-3-interested,Anticipation,Interested,surprise-3-amazed
32,anticipation-4-stressed,Anticipation,Stressed,surprise-4-disappointed
